,date,target,insult,tweet
1,6/16/2015,politicians,all talk and no action,Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.
2,6/24/2015,ben-cardin,It's politicians like Cardin that have destroyed Baltimore.,Politician @SenatorCardin didn't like that I said Baltimore needs jobs & spirit. It's politicians like Cardin that have destroyed Baltimore.
3,6/24/2015,neil-young,total hypocrite,"For the nonbeliever, here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa"
4,6/24/2015,rockin-in-the-free-world,didn't love it,".@Neilyoung’s song, “Rockin’ In The Free World” was just one of 10 songs used as background music. Didn’t love it anyway."
5,6/25/2015,willie-geist,uncomfortable looking,Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers
6,6/25/2015,jeb-bush,will NEVER Make America Great Again,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!"
7,6/25/2015,molly-sims,a disaster,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.
8,6/25/2015,nicole-wallace,a disaster,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.
9,6/25/2015,the-view,dead T.V.,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.
10,6/25/2015,the-view,put it to sleep,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.
11,6/25/2015,nicole-wallace,doesn't have a clue,".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!"
12,6/25/2015,the-view,close to death,".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!"
13,6/25/2015,lawrence-o-donnell,dopey political pundit,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad"
14,6/25/2015,lawrence-o-donnell,one of the dumber people on television,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad"
15,6/25/2015,rick-scott,did really poorly on television,Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.
16,6/26/2015,john-roberts,let us down,Once again the Bush appointed Supreme Court Justice John Roberts has let us down. Jeb pushed him hard! Remember!
17,6/26/2015,univision,controlled by Mexican government?,.@Univision cares far more about Mexico than it does about the U.S. Are they controlled by the Mexican government?
18,6/26/2015,john-roberts,my judicial appointments will do the right thing unlike... Roberts,"If I win the presidency, my judicial appointments will do the right thing unlike Bush's appointee John Roberts on ObamaCare."
19,6/28/2015,new-york-daily-news,dying tabloid,".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!"
20,6/28/2015,mort-zuckerman,dopey clown,".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!"
21,6/28/2015,new-york-daily-news,it is dead,".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!"
22,6/29/2015,saudi-arabia,"without us, gone!","Saudi Arabia should be paying the United States many billions of dollars for our defense of them. Without us, gone! @AlWaleedbinT"
23,6/30/2015,mexico,not our friend,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!"
24,6/30/2015,mexico,they're killing us,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!"
25,7/1/2015,macys,weak on border security,"For all of those who want to #MakeAmericaGreatAgain, boycott @Macys. They are weak on border security & stopping illegal immigration."
26,7/1/2015,george-pataki,"terrible governor of NY, one of the worst",".@GovernorPataki was a terrible governor of NY, one of the worst -- would’ve been swamped if he ran again!"
27,7/1/2015,george-pataki,couldn't be elected dog catcher if he ran again,.@GovernorPataki couldn’t be elected dog catcher if he ran again—so he didn’t!
28,7/1/2015,macys,racists,"Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?"
29,7/1/2015,macys,they 'racial profile' all over the place,Who is @Macys to pretend innocence when they “racial profile” all over the place? Paid big fine!
30,7/2/2015,macys,Macy's stock just dropped,.@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!
31,7/2/2015,macys,so many people calling to say they are cutting up their Macy's credit card,.@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!
32,7/2/2015,macys,terrible hypocrites,Why doesn’t somebody study the horrible charges brought against @Macys for racial profiling? Terrible hypocrites!
33,7/2/2015,barack-obama,weak & ineffective,Obama once again just missed a self-imposed deadline with Iran. Our leadership is weak & ineffective. Double the sanctions!
34,7/3/2015,southern-border,totally out of control,Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!
35,7/3/2015,southern-border,absolutely disgraceful,Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!
36,7/3/2015,juan-williams,you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture,.@TheJuanWilliams you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture. Please share pic!
37,7/5/2015,paulina-vega,hypocrite,"Miss Universe, Paulina Vega, criticized me for telling the truth about illegal immigration, but then said she would keep the crown-Hypocrite"
38,7/5/2015,rick-perry,failed at the border,Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.
39,7/5/2015,rick-perry,needs a new pair of glasses,Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.
40,7/5/2015,jeb-bush,will never secure the border,Flashback – Jeb Bush says illegal immigrants breaking our laws is an “act of love” http://t.co/p8yFzVuw8w He will never secure the border.
41,7/7/2015,united-states,has become a dumping ground for the world,.@AnnCoulter U were great last nite @ericbolling on FOX. Our country has become a dumping ground for the world--I'll get it to stop & fast!
42,7/7/2015,macys,Wow! I hear that thousands of people are cutting up their Macy's credit card,Wow! I hear that thousands of people are cutting up their @Macys credit card. That's great. #MakeAmericaGreatAgain!
43,7/9/2015,charles-krauthammer,a dope,Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!
44,7/9/2015,charles-krauthammer,highly overrated,Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!
45,7/9/2015,george-w-bush,not nice!,"Jeb's brother George insisted on a $100,000 fee and $20,000 for a private jet to speak at a charity for severely wounded vets. Not nice!"
46,7/9/2015,george-w-bush,"wants $120,000 to make a boring speech","You mean George Bush sends our soldiers into combat, they are severely wounded, and then he wants $120,000 to make a boring speech to them?"
47,7/9/2015,clare-o-connor,dummy writer,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…
48,7/9/2015,forbes,failing,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…
49,7/9/2015,clare-o-connor,dummy,"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom, ESPN was small golf outing..."
50,7/9/2015,forbes,failing,"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom, ESPN was small golf outing..."
51,7/9/2015,clare-o-connor,dummy,Dummy @Clare_OC @Forbes: Tiny fragrance deal with Parlux means nothing. Still sold at Trump Tower...
52,7/9/2015,forbes,failed magazine,Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC
53,7/9/2015,forbes,circulation way down,Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC
54,7/9/2015,barack-obama,hollowing out our military,Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.
55,7/9/2015,republicans,hollowing out our military,Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.
56,7/10/2015,iran,doing many bad things behind our backs,Iran continues to delay the nuclear deal while doing many bad things behind our backs. Time to WALK and double the sanctions. Stop payments!
57,7/10/2015,jeb-bush-supporters,everyone of those people who contributed are getting something to the detriment of America,Jeb Bush just announced he raised over $100M. Everyone of those people who contributed are getting something to the detriment of America!
58,7/11/2015,macys,no guts no glory,I love that thousands of people are boycotting @Macys and cutting up credit cards. No guts no glory. This really backfired - love it!
59,7/11/2015,univision,doing really badly,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!
60,7/11/2015,univision,too much debt and not enough viewers,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!
61,7/11/2015,univision,need money fast,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!
62,7/12/2015,mexico,unbelievable corruption,Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price. I told you so!
63,7/12/2015,chuck-todd,love watching him fail,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!
64,7/12/2015,chuck-todd,killing Meet the Press,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!
65,7/12/2015,chuck-todd,pathetic,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!
66,7/13/2015,chuck-todd,sleepy eyes,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!
67,7/13/2015,chuck-todd,will be fired like a dog,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!
68,7/13/2015,meet-the-press,ratings starved,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!
69,7/13/2015,mexico,"we get the killers, drugs & crime, they get the money!","....likewise, billions of dollars gets brought into Mexico through the border. We get the killers, drugs & crime, they get the money!"
70,7/13/2015,mexico,totally corrupt gov't,Mexico’s totally corrupt gov’t looks horrible with El Chapo’s escape—totally corrupt. U.S. paid them $3 billion.
71,7/13/2015,mexico,totally corrupt,Mexico’s totally corrupt gov’t looks horrible with El Chapo’s escape—totally corrupt. U.S. paid them $3 billion.
72,7/14/2015,new-york-daily-news,nobody reads it,Matt Harvey @Mets -- Don't let the @NYDailyNews get you down---nobody reads it. Play well.
73,7/15/2015,karl-rove,clown,Why do people listen to clown @KarlRove on @FoxNews? Spent $430M & lost all races—a Bushy!
74,7/15/2015,karl-rove,has no credibility,".@FoxNews should not put @KarlRove on—he has no credibility, a bush plant who called all races wrong."
75,7/15/2015,karl-rove,a bush plant who called all races wrong,".@FoxNews should not put @KarlRove on—he has no credibility, a bush plant who called all races wrong."
76,7/16/2015,karl-rove,"irrelevant clown, sweats and shakes nervously","Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12."
77,7/16/2015,karl-rove,has zero cred,"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12."
78,7/16/2015,karl-rove,made fool of himself in '12,"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12."
79,7/16/2015,penn-jillette,boring guy,"I hear @pennjillette show on Broadway is terrible. Not surprised, boring guy (Penn). Without The Apprentice, show would have died long ago."
80,7/16/2015,penn-jillette,goofball atheist,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.
81,7/16/2015,penn-jillette,never had a chance,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.
82,7/16/2015,penn-jillette,wrote letter to me begging for forgiveness,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.
83,7/16/2015,macys,Macy's stores suck and they are bad for U.S.A.,I hope the boycott of @Macys continues forever. So many people are cutting up their cards. Macy's stores suck and they are bad for U.S.A.
84,7/16/2015,karl-rove,a clown with zero credibility,.@FoxNews You shouldn’t have @KarlRove on the air—he’s a clown with zero credibility—a Bushy!
85,7/16/2015,karl-rove,wasted $400 million,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews
86,7/16/2015,karl-rove,didn't win one race,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews
87,7/16/2015,karl-rove,total loser,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews
88,7/16/2015,united-states,out negotiated again,No deal is better than a bad deal. America out negotiated again. #Iran
89,7/16/2015,lawrence-o-donnell,a fool,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!"
90,7/16/2015,lawrence-o-donnell,dopey,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!"
91,7/16/2015,the-last-word-with-lawrence-o-donnell,unwatchable,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!"
92,7/16/2015,penn-jillette,worst show in Las Vegas,"The worst show in Las Vegas, in my opinion, is @pennjillette. Hokey garbage. New York show even worse!"
93,7/16/2015,penn-jillette,hokey garbage,"The worst show in Las Vegas, in my opinion, is @pennjillette. Hokey garbage. New York show even worse!"
94,7/16/2015,iran-deal,poses a direct national security threat,The Iran deal poses a direct national security threat. It must be stopped in Congress. Stand up Republicans!
95,7/16/2015,john-mccain,dummy,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!
96,7/16/2015,john-mccain,graduated last in his class,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!
97,7/16/2015,john-mccain,should be defeated in the primaries,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!
98,7/16/2015,rick-perry,doesn't understand what the word demagoguery means,.@GovernorPerry just gave a pollster quote on me. He doesn't understand what the word demagoguery means.
99,7/16/2015,rick-perry,failed on the border,.@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.
100,7/16/2015,rick-perry,should be forced to take an IQ test,.@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.
101,7/18/2015,arianna-huffington,liberal clown,The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.
102,7/18/2015,huffington-post,money losing,The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.
103,7/18/2015,huffington-post,money-losing,It's driving @ariannahuff & the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!
104,7/18/2015,huffington-post,they only write bad stories about me!,It's driving @ariannahuff & the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!
105,7/18/2015,cnn,ratings starved,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!
106,7/18/2015,cnn,does not cover me accurately,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!
107,7/18/2015,cnn,why can't they get it right,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!
108,7/18/2015,cnn,just plain dumb!,The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN & @CNNPolitics is just plain dumb!
109,7/18/2015,john-mccain,doing a lousy job in taking care of our Vets,"In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!"
110,7/18/2015,john-mccain,let us down,"In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!"
111,7/18/2015,john-mccain,has failed miserably,....John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives.
112,7/18/2015,john-mccain,"All he does is go on television is talk, talk, talk","All he does is go on television is talk, talk, talk, but incapable of doing anything."
113,7/18/2015,john-mccain,incapable of doing anything.,"All he does is go on television is talk, talk, talk, but incapable of doing anything."
114,7/18/2015,mitt-romney,why would anybody listen to @MittRomney?,"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!"
115,7/18/2015,mitt-romney,lost an election that should have easily been won,"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!"
116,7/18/2015,john-mccain,I am no fan,One of the reasons I am no fan of John McCain is that our Vets are being treated so badly by him and the politicians. I will fix VA quickly.
117,7/19/2015,john-mccain,has done nothing,The Veterans Administration is in shambles and our veterans are suffering greatly. John McCain has done nothing to help them but talk.
118,7/20/2015,wall-street-journal,ever-dwindling,"The ever dwindling @WSJ which is worth about 1/10 of what it was purchased for, is always hitting me politically. Who cares!"
119,7/20/2015,politicians,incompetent,We will soon be at a point with our incompetent politicians where we will be treating illegal immigrants better than our veterans.
120,7/20/2015,wall-street-journal,looks like a tabloid,Look how small the pages have become @WSJ. Looks like a tabloid—saving money I assume!
121,7/21/2015,rick-perry,did an absolutely horrible job of securing the border,Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.
122,7/21/2015,rick-perry,should be ashamed of himself,Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.
123,7/21/2015,chuck-todd,sleepy eyes,.@BreitbartNews is much smarter than sleepy eyes @chucktodd @nbc http://t.co/Lb3PBlN3u0 Thanks to Steve Bannon & real reporters.
124,7/21/2015,des-moines-register,failing,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU"
125,7/21/2015,des-moines-register,ultra liberal,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU"
126,7/21/2015,des-moines-register,has no power in Iowa,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU"
127,7/22/2015,???,failing,I hear a failing New York newspaper is going to publish one of my old cell phone numbers. So original - just one of many!
128,7/23/2015,frank-luntz,knows nothing about me or my religion,.@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!
129,7/23/2015,frank-luntz,came to my office looking for work,.@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!
130,7/23/2015,anderson-cooper-360,a waste,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!
131,7/23/2015,anderson-cooper,Has the absolutely worst anti-Trump talking heads on his show,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!
132,7/23/2015,tim-o-brien,dopey writer,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!
133,7/23/2015,macys,"no guts, no glory","Boycott @Macys, no guts, no glory. Besides, there are far better stores!"
134,7/23/2015,macys,there are far better stores,"Boycott @Macys, no guts, no glory. Besides, there are far better stores!"
135,7/23/2015,tim-o-brien,dumb guy with no clue,What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!
136,7/23/2015,tim-o-brien,really stupid talking head,What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!
137,7/23/2015,weekly-standard,small and slightly failing magazine,".@BillKristol Bill, your small and slightly failing magazine will be a giant success when you finally back Trump. Country will soar!"
138,7/24/2015,dana-perino,just not getting there,"You’re just not getting there @DanaPerino. Sometimes things just don’t work out, but don’t worry--- no problem!"
139,7/24/2015,politicians,experts in never facing any consequence,When will anyone be held accountable for the VA scandal? The politicians are experts in never facing any consequence.
140,7/25/2015,des-moines-register,ultra liberal,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!
141,7/25/2015,des-moines-register,seriously failing,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!
142,7/25/2015,des-moines-register,they lie,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!
143,7/25/2015,huffington-post,money-losing,"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll), and by a big margin. Dummy @ariannahuff must be thrilled!"
144,7/25/2015,arianna-huffington,dummy,"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll), and by a big margin. Dummy @ariannahuff must be thrilled!"
145,7/25/2015,macys,racial profiling,.@Macy’s is a big contributor to @PPFA . Anybody against Planned Parenthood should boycott racial profiling Macy’s.
146,7/25/2015,scott-walker,not smart,".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!"
147,7/25/2015,scott-walker,your very dumb fundraiser hit me very hard--- not smart!,".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!"
148,7/26/2015,scott-walker,not presidential material,".@ScottWalker is a nice guy, but not presidential material. Wisconsin is in turmoil, borrowing to the hilt, and doing poorly in jobs etc."
149,7/27/2015,scott-walker,"massive deficit, bad jobs forecast, a mess","When people find out how bad a job Scott Walker has done in WI, they won’t be voting for him. Massive deficit, bad jobs forecast, a mess."
150,7/27/2015,steve-rattner,should have gone to prison,".@SteveRattner While I think you should have gone to prison for what you did, I guess Obama saved you. But watch – I will win!"
151,7/27/2015,john-sununu,couldn't get elected dog catcher,.@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa
152,7/27/2015,john-sununu,forgot to mention my phenomenal biz success rate,.@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa
153,7/27/2015,marty-walsh,wasted a lot of time and money,"Boston's Mayor Walsh wasted a lot of time and money on going for the Olympics, and then he gave up. I don't want him negotiating for me!"
154,7/28/2015,barack-obama,all talk & no action,My @FoxNews int. with @seanhannity on Obama being all talk & no action & making America Great Again! http://t.co/RqP6MNnR7h
155,7/28/2015,barack-obama,incompetent leader,.#IranDeal will go down as one of the dumbest & most dangerous misjudgments ever entered into in history of our country—incompetent leader!
156,7/28/2015,iran-deal,one of the dumbest & most dangerous misjudgments ever,.#IranDeal will go down as one of the dumbest & most dangerous misjudgments ever entered into in history of our country—incompetent leader!
157,7/28/2015,jeb-bush,just doesn't get it,A nation WITHOUT BORDERS is not a nation at all. We must have a wall. The rule of law matters. Jeb just doesn’t get it.
158,7/29/2015,elizabeth-beck,she wanted to breast pump in front of me at dep.,".@CNN & @CNNPolitics did not say that lawyer Beck lost the case and I got legal fees. Also, she wanted to breast pump in front of me at dep."
159,7/29/2015,elizabeth-beck,easy for me to beat,Lawyer Elizabeth Beck was easy for me to beat. Ask her clients if they are happy with her results against me. Got total win and legal fees.
160,7/29/2015,elizabeth-beck,I loved beating her,".CNN & @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy"
161,7/29/2015,elizabeth-beck,did a terrible job against me,".CNN & @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy"
162,7/29/2015,elizabeth-beck,knows nothing about me,.@CNN Why is somebody (Beck) I beat so soundly all of a sudden an expert on Donald Trump (all over television). She knows nothing about me.
163,7/29/2015,people,know NOTHING,So many people who know nothing about me are commenting all over T.V. and the media as though they have great D.J.T. insight. Know NOTHING!
164,7/29/2015,daily-beast,failing,Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!
165,7/29/2015,daily-beast,money losing,Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!
166,7/29/2015,the-media,lies,I truly LOVE all of the millions of people who are sticking with me despite so many media lies. There is a great SILENT MAJORITY looming!
167,7/29/2015,bias-free-language-guide,an outrage,This is an outrage! Bias-Free Language Guide claims the word 'American' is 'problematic' -- WHAT?! http://t.co/vKz8a0ICGs
168,7/29/2015,harry-hurt,dummy dope,"How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?"
169,7/29/2015,harry-hurt,wrote a failed book,"How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?"
170,7/29/2015,harry-hurt,failed writer,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!
171,7/29/2015,harry-hurt,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!
172,7/29/2015,elizabeth-beck,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!
173,7/30/2015,carl-cameron,consistently fumbles & misrepresents poll results,Carl Cameron @FoxNews is the only reporter I know who consistently fumbles & misrepresents poll results. He has been so wrong & he hates it!
174,7/30/2015,carl-cameron,has been so wrong & he hates it!,Carl Cameron @FoxNews is the only reporter I know who consistently fumbles & misrepresents poll results. He has been so wrong & he hates it!
175,7/30/2015,politicians,failing,The polls have been consistently great. The silent majority is speaking. Politicians are failing. #MakeAmericaGreatAgain!
176,7/31/2015,dan-henninger,lies,"Should not raise taxes in Wisconsin, but massive budget deficit. Education, roads, etc suffering. @DanHenninger lies. @WSJ"
177,8/2/2015,republican-candidates,beg for money etc. from the Koch Brothers,I wish good luck to all of the Republican candidates that traveled to California to beg for money etc. from the Koch Brothers. Puppets?
178,8/2/2015,republican-candidates,puppets,I wish good luck to all of the Republican candidates that traveled to California to beg for money etc. from the Koch Brothers. Puppets?
179,8/3/2015,jeb-bush,is miserable,"Despite the false @nytimes story about Jeb Bush being happy with the Trump surge, he fell more than anybody & is miserable."
180,8/3/2015,the-new-york-times,false @nytimes story,"Despite the false @nytimes story about Jeb Bush being happy with the Trump surge, he fell more than anybody & is miserable."
181,8/3/2015,jeb-bush,fell more than anybody,"Despite the false @nytimes story about Jeb Bush being happy with the Trump surge, he fell more than anybody & is miserable."
182,8/7/2015,frank-luntz,a low-class slob,.@FrankLuntz is a low class slob who came to my office looking for consulting work and I had zero interest. Now he picks anti-Trump panels!
183,8/7/2015,frank-luntz,where did you find that dumb panel,.@FrankLuntz I won every poll of the debate tonight by massive margins @DRUDGE_REPORT & @TIME so where did you find that dumb panel.
184,8/7/2015,megyn-kelly,really bombed tonight,"Wow, @megynkelly really bombed tonight. People are going wild on twitter! Funny to watch."
185,8/7/2015,frank-luntz,a clown,".@FrankLuntz, your so-called ""focus groups"" are a total joke. Don't come to my office looking for business again. You are a clown!"
186,8/7/2015,fox-news,not very good or professional,"I really enjoyed the debate tonight even though the @FoxNews trio, especially @megynkelly, was not very good or professional!"
187,8/7/2015,megyn-kelly,not very good or professional,"I really enjoyed the debate tonight even though the @FoxNews trio, especially @megynkelly, was not very good or professional!"
188,8/7/2015,fox-news,should be ashamed of yourself,.@FoxNews you should be ashamed of yourself. I got you the highest debate ratings in your history & you say nothing but bad...
189,8/7/2015,charles-krauthammer,dopey,....Dopey @krauthammer should be fired. @FoxNews
190,8/7/2015,charles-krauthammer,should be fired,....Dopey @krauthammer should be fired. @FoxNews
191,8/7/2015,charles-krauthammer,clown,The hatred that clown @krauthammer has for me is unbelievable – causes him to lie when many others say Trump easily won debate.
192,8/8/2015,politically-correct-fools,stop wasting time and energy on nonsense,"So many ""politically correct"" fools in our country. We have to all get back to work and stop wasting time and energy on nonsense!"
