,date,target,insult,tweet
2658,6/6/2017,cbs,Fake News,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH"
2659,6/6/2017,cnn,Fake News,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH"
2660,6/6/2017,the-new-york-times,Fake News,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH"
2661,6/6/2017,the-media,FAKE,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.
2662,6/6/2017,the-media,working so hard trying to get me not to use Social Media,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.
2663,6/6/2017,the-media,They hate that I can get the honest and unfiltered message out,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.
2664,6/9/2017,james-comey,so many false statements and lies,"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!"
2665,6/9/2017,james-comey,a leaker!,"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!"
2666,6/11/2017,james-comey,Very 'cowardly!',I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!'
2667,6/11/2017,democrats,"have no message, not on economics, not on taxes, not on jobs, not on failing #Obamacare","The Democrats have no message, not on economics, not on taxes, not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!"
2668,6/11/2017,democrats,OBSTRUCTIONISTS!,"The Democrats have no message, not on economics, not on taxes, not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!"
2669,6/11/2017,obamacare,failing,"The Democrats have no message, not on economics, not on taxes, not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!"
2670,6/11/2017,the-media,#FakeNews,The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling & energy sector...
2671,6/11/2017,the-media,report the great economic news since Election Day,The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling & energy sector...
2672,6/13/2017,loretta-lynch,made law enforcement decisions for political purposes,A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!
2673,6/13/2017,loretta-lynch,gave Hillary Clinton a free pass and protection,A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!
2674,6/13/2017,loretta-lynch,Totally illegal!,A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!
2675,6/13/2017,democrats,Obstructionist,"2 million more people just dropped out of ObamaCare. It is in a death spiral. Obstructionist Democrats gave up, have no answer = resist!"
2676,6/13/2017,democrats,have no answer,"2 million more people just dropped out of ObamaCare. It is in a death spiral. Obstructionist Democrats gave up, have no answer = resist!"
2677,6/13/2017,obamacare,in a death spiral,"2 million more people just dropped out of ObamaCare. It is in a death spiral. Obstructionist Democrats gave up, have no answer = resist!"
2678,6/13/2017,the-media,has never been so wrong or so dirty,The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!
2679,6/13/2017,the-media,Purposely incorrect stories,The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!
2680,6/13/2017,the-media,phony sources,The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!
2681,6/13/2017,the-media,agenda of hate,The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!
2682,6/13/2017,the-media,Sad!,The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!
2683,6/13/2017,the-media,at an all time high,Fake News is at an all time high. Where is their apology to me for all of the incorrect stories???
2684,6/13/2017,the-media,Where is their apology to me for all of the incorrect stories???,Fake News is at an all time high. Where is their apology to me for all of the incorrect stories???
2685,6/15/2017,rod-rosenstein,very bad and conflicted,You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people! #MAGA
2686,6/15/2017,investigations-of-trump-presidency,the single greatest WITCH HUNT in American political history,You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people! #MAGA
